Blob ID,Mean Intensity,Std Deviation,Area,LBP Mean,LBP Std,Imain1,Imain2,Final Inertia,Prediction
100,162,37.09832495,7,2.222222222,1.030402055,190654.138,0.106912691,1783269.472,Debris
101,99,0,1,0,0,102132,0,inf,Debris
102,107,0,1,0,0,86536,0,inf,Debris
103,97,0,1,0,0,112969,0,inf,Debris
104,97,0,1,0,0,54874,0,inf,Debris
105,124,30.28530997,5,1.833333333,1.067187373,392674.4107,25747.62932,15.25089576,Debris
106,153.2727273,37.30973772,11,2.666666667,1.349897115,273191.7692,17766.37128,15.37690308,Star
107,110.5,13.46291202,4,1.5,1.118033989,318160.9577,0.042293059,7522770.141,Debris
108,125,22,2,0.5,0.5,98664.47062,954.0293827,103.4186917,Debris
109,121.8333333,32.51367234,6,2.555555556,0.955813919,290850.1666,8.25E-05,3524742105,Debris
110,94,0,1,0,0,161969,0,inf,Debris
111,91,0,1,0,0,167866,0,inf,Debris
112,91,0,1,0,0,80801,0,inf,Debris
113,92,0,1,0,0,108257,0,inf,Debris
114,102,3,2,0.5,0.5,108104.118,17758.38202,6.087498166,Debris
115,96,1,2,0.5,0.5,113057.3081,18251.19189,6.194516434,Debris
116,120.1666667,29.2712411,6,1.833333333,1.067187373,446370.0003,29035.49971,15.37325015,Debris
117,98.5,5.5,2,0.5,0.5,308750.7999,23901.7001,12.91752464,Debris
118,92,0,1,0,0,179129,0,inf,Debris
119,100,0,1,0,0,62253,0,inf,Debris
120,105,0,1,0,0,97378,0,inf,Debris
121,96,0,1,0,0,82565,0,inf,Debris
122,94.5,2.5,2,0.5,0.5,137024.0591,15238.44089,8.991999911,Debris
123,141.25,38.78385618,8,2.222222222,1.030402055,386650.8326,0.011104011,34820826.6,Debris
124,157.2,46.78774768,15,2.75,1.089724736,405014.6601,18390.6021,22.02291464,Star
125,100,0,1,0,0,159053,0,inf,Debris
126,95,0,1,0,0,170120,0,inf,Debris
127,93,0,1,0,0,148234,0,inf,Debris
128,92,0,1,0,0,176306,0,inf,Debris
129,128.75,9.601432185,4,1.5,1.118033989,185818.9629,0.037073719,5012147.915,Debris
130,134.3,45.69912472,10,2.875,1.053268722,838921.1331,0.386943644,2168070.588,Debris
131,162,40.09274961,7,2.222222222,1.030402055,208037.9329,1.311995229,158566.0742,Debris
132,95,0,1,0,0,117640,0,inf,Debris
133,119,0,1,0,0,206957,0,inf,Debris
134,100.5,4.5,2,0.5,0.5,153425.6108,24207.88924,6.337835125,Debris
135,94,0,1,0,0,114869,0,inf,Debris
136,95.5,4.5,2,0.5,0.5,184140.4738,27677.02615,6.653188563,Debris
137,94,0,1,0,0,169025,0,inf,Debris
138,101,6.480740698,3,1.5,1.118033989,215489.0888,0.02230791,9659761.617,Debris
139,97,0,1,0,0,135833,0,inf,Debris
140,91,0,1,0,0,119666,0,inf,Debris
141,101,0,1,0,0,129610,0,inf,Debris
142,108.3333333,11.6714276,3,1.5,1.118033989,319681.1097,0.001423641,224551782.8,Debris
143,92,0,1,0,0,165793,0,inf,Debris
144,93,0,1,0,0,207394,0,inf,Debris
145,162.1428571,39.73637618,7,2.333333333,1.054092553,247727.4451,0.942688923,262788.115,Star
146,93,0,1,0,0,130000,0,inf,Debris
147,131.5,8.321658489,4,1.5,1.118033989,286514.999,0.001008673,284051366.8,Debris
